,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.304241,44.478451,2.9050488000e+01,3.1202590000e+00,29.0505473,3.1203193,01h56m12.13s,03d07m13.15s,1.6489,1.7902,-0.6808,17.087,null,null,4.448e-01,15.211,null,0.7,5.551e-01,10.775,0.309,3.5,1.115e+00,7.742,null,null,1.085e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55211.324523,null,null,null,null,null,null,null
1,2,0.213300,66.948340,2.9050770000e+01,3.1202380000e+00,29.0508246,3.1202612,01h56m12.20s,03d07m12.94s,1.1251,1.2810,-0.3999,16.899,null,null,6.173e-01,15.508,null,null,1.218e+00,10.101,0.166,6.5,9.956e-01,7.697,0.477,2.3,1.488e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,0,55211.324651,null,null,null,null,null,null,null
2,3,1.099735,9.936047,2.9310318000e+01,3.3352780000e+00,29.3103708,3.3355789,01h57m14.49s,03d20m08.08s,1.2066,1.2778,-0.2486,16.551,0.370,2.9,1.331e+00,14.847,0.338,3.2,1.216e+00,10.532,0.261,4.2,1.025e+00,7.535,0.437,2.5,1.055e+00,1,0,0.000,0.000,0.000,0.000,0000,CBBC,0,55211.456955,null,null,null,null,null,null,null
3,4,1.075618,-57.939079,2.9567658000e+01,3.5482780000e+00,29.5674043,3.5484366,01h58m16.18s,03d32m54.37s,1.3545,1.6395,-0.4976,16.316,null,1.2,1.262e+00,15.615,null,null,6.104e-01,10.121,0.183,5.9,5.754e-01,7.740,null,null,8.485e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55211.589260,null,null,null,null,null,null,null
4,5,1.509442,-23.020263,2.9695644000e+01,3.6540030000e+00,29.6954797,3.6543889,01h58m46.92s,03d39m15.80s,1.5529,1.6306,-0.6132,17.007,null,null,8.121e-01,15.286,null,0.5,5.924e-01,10.459,0.239,4.5,9.692e-01,7.415,null,0.8,9.884e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55211.655476,null,null,null,null,null,null,null
5,6,1.609127,41.994358,2.9823086000e+01,3.7592210000e+00,29.8233857,3.7595532,01h59m17.61s,03d45m34.39s,1.7311,1.8692,-0.5693,16.251,null,1.9,7.270e-01,15.144,null,0.8,8.561e-01,10.521,0.263,4.1,9.175e-01,7.261,null,1.2,7.978e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55211.721692,null,null,null,null,null,null,null
6,9,1.274735,-62.208078,3.0076080000e+01,3.9681690000e+00,30.0757660,3.9683341,02h00m18.18s,03d58m06.00s,2.2648,2.4799,-0.5732,17.017,null,0.1,5.231e-01,15.551,null,0.1,7.793e-01,10.728,0.307,3.5,8.746e-01,7.392,null,0.9,5.957e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55211.853997,null,null,null,null,null,null,null
7,10,4.526208,-97.899667,3.0201910000e+01,4.0718810000e+00,30.2006615,4.0717082,02h00m48.16s,04d04m18.15s,1.5147,1.6233,-0.3872,16.281,null,1.7,1.221e+00,15.520,null,null,8.751e-01,10.403,0.239,4.5,1.516e+00,7.203,null,1.6,1.413e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55211.920213,null,null,null,null,null,null,null
8,12,2.357868,-91.312279,3.0699676000e+01,4.4817940000e+00,30.6990192,4.4817790,02h02m47.76s,04d28m54.40s,1.2211,1.3096,-0.3762,16.451,0.317,3.4,1.023e+00,15.435,0.456,2.4,7.263e-01,10.385,0.230,4.7,2.038e+00,7.761,null,null,9.075e-01,1,0,0.000,0.000,0.000,0.000,0000,BCBU,0,55212.184950,null,null,null,null,null,null,null
9,13,1.036562,-29.622989,3.0945301000e+01,4.6838100000e+00,30.9451582,4.6840603,02h03m46.84s,04d41m02.62s,1.3127,1.3978,-0.4447,16.867,null,0.4,1.344e+00,15.161,0.362,3.0,9.667e-01,10.238,0.197,5.5,1.202e+00,7.523,null,0.8,1.086e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55212.317254,null,null,null,null,null,null,null
10,29,3.973602,19.494820,6.3335668000e+01,2.5436842000e+01,63.3360759,25.4378825,04h13m20.66s,25d26m16.38s,0.5853,0.5966,-0.1661,14.907,0.104,10.5,6.295e-01,15.271,0.434,2.5,1.162e+00,11.145,0.435,2.5,8.562e-01,7.205,null,1.6,9.487e-01,1,0,0.000,0.000,0.000,0.000,0000,ACCU,0,55246.064945,137426776,15.689,0.057,15.048,0.074,15.014,0.104
11,38,3.330319,28.119032,6.3858516000e+01,2.5634098000e+01,63.8589996,25.6349139,04h15m26.16s,25d38m05.69s,1.0067,1.1095,-0.2293,15.543,0.203,5.3,3.754e-01,15.254,0.391,2.8,5.805e-01,11.346,0.529,2.1,7.051e-01,7.177,null,1.7,6.602e-01,1,0,0.000,0.000,0.000,0.000,0000,BCCU,0,55246.925113,137481452,16.673,0.116,15.903,0.141,15.879,0.196
12,43,2.288381,-59.313746,6.5791165000e+01,2.6323903000e+01,65.7905551,26.3242274,04h23m09.73s,26d19m27.22s,0.8979,0.9304,-0.1778,15.834,null,null,1.112e+00,14.053,null,null,4.023e-01,9.115,null,null,4.516e-01,5.846,0.153,7.1,1.639e+00,2,0,0.000,0.000,0.000,0.000,000d,UUUB,0,55250.167264,null,null,null,null,null,null,null
13,53,1.841657,-57.468952,6.6140180000e+01,2.6442099000e+01,66.1396983,26.4423741,04h24m33.53s,26d26m32.55s,1.0647,1.0814,-0.3532,15.486,0.177,6.1,7.521e-01,14.757,null,0.4,1.386e+00,10.678,null,1.2,1.028e+00,7.025,null,1.8,1.158e+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55250.762696,138295471,16.873,0.153,16.144,0.166,15.353,0.137
